package	version	handler	status	local_path	declared_sha256	local_sha256	url	site
coreutils	8.31	archive	present	sources/coreutils/coreutils-8.31.tar.xz	ff7a9c918edce6b4f4b2725e3f9b37b0c4d193531cac49a48b56c4d0d3a9e9fd	ff7a9c918edce6b4f4b2725e3f9b37b0c4d193531cac49a48b56c4d0d3a9e9fd	https://ftp.gnu.org/gnu/coreutils/coreutils-8.31.tar.xz	https://www.gnu.org/software/coreutils/
cpio	2.12	archive	present	sources/cpio/cpio-2.12.tar.gz	08a35e92deb3c85d269a0059a27d4140a9667a6369459299d08c17f713a92e73	08a35e92deb3c85d269a0059a27d4140a9667a6369459299d08c17f713a92e73	http://ftpmirror.gnu.org/cpio/cpio-2.12.tar.gz	http://www.gnu.org/software/cpio/
crocods	f1b4b91291ba1e8e7c0be02269cd0d75c7fa71b9	archive	present	sources/crocods/crocods-f1b4b91291ba1e8e7c0be02269cd0d75c7fa71b9.tar.gz	ff66ab18e6765aabdbde29eeaff4ee7acbe47f8433ca3f8b60ab015fdbd191e0	ff66ab18e6765aabdbde29eeaff4ee7acbe47f8433ca3f8b60ab015fdbd191e0	https://github.com/libretro/libretro-crocods/archive/f1b4b91291ba1e8e7c0be02269cd0d75c7fa71b9.tar.gz	https://github.com/libretro/libretro-crocods
crossguid	8f399e8bd4252be9952f3dfa8199924cc8487ca4	archive	present	sources/crossguid/crossguid-8f399e8bd4252be9952f3dfa8199924cc8487ca4.tar.gz	022c9f02cc36e865cd8fd0111a597ff2bd91988deeb348dbe2aba64aed1abd99	022c9f02cc36e865cd8fd0111a597ff2bd91988deeb348dbe2aba64aed1abd99	https://github.com/graeme-hill/crossguid/archive/8f399e8bd4252be9952f3dfa8199924cc8487ca4.tar.gz	https://github.com/graeme-hill/crossguid
cryptsetup	2.3.4	archive	present	sources/cryptsetup/cryptsetup-2.3.4.tar.xz	9d16eebb96b53b514778e813019b8dd15fea9fec5aafde9fae5febf59df83773	9d16eebb96b53b514778e813019b8dd15fea9fec5aafde9fae5febf59df83773	https://www.kernel.org/pub/linux/utils/cryptsetup/v2.3/cryptsetup-2.3.4.tar.xz	-
curl	8.3.0	archive	present	sources/curl/curl-8.3.0.tar.xz	376d627767d6c4f05105ab6d497b0d9aba7111770dd9d995225478209c37ea63	376d627767d6c4f05105ab6d497b0d9aba7111770dd9d995225478209c37ea63	http://curl.haxx.se/download/curl-8.3.0.tar.xz	http://curl.haxx.se
dav1d	1.0.0	archive	present	sources/dav1d/dav1d-1.0.0.tar.bz2	4a4eb6cecbc8c26916ef58886d478243de8bcc46710b369c04d6891b0155ac0f	4a4eb6cecbc8c26916ef58886d478243de8bcc46710b369c04d6891b0155ac0f	https://code.videolan.org/videolan/dav1d/-/archive/1.0.0/dav1d-1.0.0.tar.bz2	http://www.jbkempf.com/blog/post/2018/Introducing-dav1d
dbus	1.13.18	archive	present	sources/dbus/dbus-1.13.18.tar.xz	8078f5c25e34ab907ce06905d969dc8ef0ccbec367e1e1707c7ecf8460f4254e	8078f5c25e34ab907ce06905d969dc8ef0ccbec367e1e1707c7ecf8460f4254e	https://dbus.freedesktop.org/releases/dbus/dbus-1.13.18.tar.xz	https://dbus.freedesktop.org
dbus-glib	0.112	archive	present	sources/dbus-glib/dbus-glib-0.112.tar.gz	7d550dccdfcd286e33895501829ed971eeb65c614e73aadb4a08aeef719b143a	7d550dccdfcd286e33895501829ed971eeb65c614e73aadb4a08aeef719b143a	https://dbus.freedesktop.org/releases/dbus-glib/dbus-glib-0.112.tar.gz	https://freedesktop.org/wiki/Software/dbus
dbus-python	1.3.2	archive	present	sources/dbus-python/dbus-python-1.3.2.tar.gz	ad67819308618b5069537be237f8e68ca1c7fcc95ee4a121fe6845b1418248f8	ad67819308618b5069537be237f8e68ca1c7fcc95ee4a121fe6845b1418248f8	https://dbus.freedesktop.org/releases/dbus-python/dbus-python-1.3.2.tar.gz	https://freedesktop.org/wiki/Software/dbus
